Statistik från Skolverket, https://www.skolverket.se

Grundskola - Relationen mellan nationella prov och slutbetyg årskurs 9, svenska/svenska som andraspråk, matematik och engelska
Valt läsår: 2024/25

Exporten visar statistik om det finns minst 15 elever i årskurs 9 med både slutbetyg och provbetyg i 
ämnena svenska, matematik eller engelska.
Om data saknas visas en prick (.) istället för utfall.

Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Svenska, antal elever med provbetyg och slutbetyg;Svenska, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Svenska, andel (%) elever med lika slutbetyg jämfört med provbetyget;Svenska, andel (%) elever med högre slutbetyg jämfört med provbetyget;Matematik, antal elever med provbetyg och slutbetyg;Matematik, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Matematik, andel (%) elever med lika slutbetyg jämfört med provbetyget;Matematik, andel (%) elever med högre slutbetyg jämfört med provbetyget;Engelska, antal elever med provbetyg och slutbetyg;Engelska, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Engelska, andel (%) elever med lika slutbetyg jämfört med provbetyget;Engelska, andel (%) elever med högre slutbetyg jämfört med provbetyget;Svenska som andraspråk, antal elever med provbetyg och slutbetyg;Svenska som andraspråk, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Svenska som andraspråk, andel (%) elever med lika slutbetyg jämfört med provbetyget;Svenska som andraspråk, andel (%) elever med högre slutbetyg jämfört med provbetyget;
Dalsjöskolan 7-9;60557814;Borås;1490;Kommunal;Borås kommun;2120001561;123;4,1;49,6;46,3;125;3,2;64,0;32,8;128;14,1;70,3;15,6;.;.;.;.;
Daltorpskolan 7-9;97706771;Borås;1490;Kommunal;Borås kommun;2120001561;93;.;57,0;43,0;112;4,5;91,1;4,5;104;5,8;77,9;16,3;15;6,7;40,0;53,3;
Engelbrektskolan 7-9;86215855;Borås;1490;Kommunal;Borås kommun;2120001561;94;5,3;61,7;33,0;95;5,3;77,9;16,8;108;3,7;88,9;7,4;.;.;.;.;
Erikslundskolan 7-9;73269899;Borås;1490;Kommunal;Borås kommun;2120001561;39;5,1;53,8;41,0;57;1,8;75,4;22,8;58;10,3;75,9;13,8;.;.;.;.;
Fristadskolan 7-9;86708639;Borås;1490;Kommunal;Borås kommun;2120001561;119;10,9;69,7;19,3;130;4,6;83,1;12,3;130;18,5;72,3;9,2;.;.;.;.;
Internationella Engelska Skolan Borås;58354320;Borås;1490;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;37;18,9;64,9;16,2;60;3,3;88,3;8,3;59;10,2;88,1;1,7;23;8,7;69,6;21,7;
Kunskapsskolan Borås;10257640;Borås;1490;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;99;3,0;67,7;29,3;108;.;77,8;22,2;107;7,5;85,0;7,5;.;.;.;.;
Malmen Montessori;10132939;Borås;1490;Enskild;Malmen Montessori;8645012132;53;5,7;56,6;37,7;49;6,1;65,3;28,6;54;14,8;66,7;18,5;.;.;.;.;
Sandgärdskolan 7-9;98081621;Borås;1490;Kommunal;Borås kommun;2120001561;132;12,1;49,2;38,6;129;.;75,2;24,8;133;13,5;75,2;11,3;.;.;.;.;
Särlaskolan 7-9;23108037;Borås;1490;Kommunal;Borås kommun;2120001561;36;.;47,2;52,8;54;1,9;75,9;22,2;54;7,4;77,8;14,8;20;5,0;80,0;15,0;
Viskaforsskolan 7-9;50756758;Borås;1490;Kommunal;Borås kommun;2120001561;63;3,2;69,8;27,0;72;1,4;90,3;8,3;66;16,7;74,2;9,1;.;.;.;.;
Björkhaga Skola;43238662;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;32;.;96,9;3,1;50;.;82,0;18,0;51;19,6;66,7;13,7;20;.;90,0;10,0;
Botkyrka Friskola F-9;80378022;Botkyrka;0127;Enskild;JPK Education AB;5564944063;20;20,0;45,0;35,0;31;.;100,0;.;31;29,0;67,7;3,2;.;.;.;.;
Broängsskolan;38661388;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;85;2,4;72,9;24,7;84;2,4;84,5;13,1;88;26,1;67,0;6,8;.;.;.;.;
Brunnaskolan;53426548;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;19;.;68,4;31,6;57;.;70,2;29,8;57;.;68,4;31,6;34;.;70,6;29,4;
Falkbergsskolan;85558618;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;86;10,5;69,8;19,8;89;1,1;69,7;29,2;97;7,2;83,5;9,3;.;.;.;.;
Fittjaskolan Botkyrka Norra;40631085;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;21;.;42,9;57,1;79;.;35,4;64,6;79;2,5;89,9;7,6;60;.;48,3;51,7;
Freinetskolan Kastanjen;29524966;Botkyrka;0127;Enskild;Freinetskolan Kastanjen Ekonomisk Förening;7696000590;.;.;.;.;17;.;29,4;70,6;17;.;29,4;70,6;.;.;.;.;
Grindtorpsskolan;57228484;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;19;10,5;21,1;68,4;30;3,3;70,0;26,7;32;15,6;71,9;12,5;.;.;.;.;
Hammerstaskolan;25918983;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;31;.;80,6;19,4;47;.;70,2;29,8;45;4,4;86,7;8,9;18;.;94,4;5,6;
JENSEN grundskola Kvarnsjön;80731562;Botkyrka;0127;Enskild;Jensen Education College AB;5566358759;58;3,4;84,5;12,1;60;.;80,0;20,0;61;.;83,6;16,4;.;.;.;.;
Karsby International School;67742754;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;30;10,0;30,0;60,0;43;.;79,1;20,9;42;4,8;88,1;7,1;.;.;.;.;
Kunskapsskolan Tumba;84411355;Botkyrka;0127;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;49;12,2;44,9;42,9;66;.;93,9;6,1;71;25,4;70,4;4,2;22;13,6;54,5;31,8;
Kvarnhagsskolan;56417100;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;.;.;.;.;43;.;74,4;25,6;41;.;95,1;4,9;36;.;77,8;22,2;
Malmsjö skola;86985859;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;44;.;54,5;45,5;43;.;53,5;46,5;47;12,8;80,9;6,4;.;.;.;.;
Rikstens skola;75580959;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;76;5,3;53,9;40,8;80;5,0;86,3;8,8;78;5,1;66,7;28,2;.;.;.;.;
Skogsbacksskolan;10657244;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;.;.;.;.;48;2,1;89,6;8,3;49;2,0;93,9;4,1;35;.;82,9;17,1;
Trädgårdsstadsskolan;58310322;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;83;13,3;67,5;19,3;84;4,8;90,5;4,8;82;8,5;72,0;19,5;.;.;.;.;
Tunaskolan;36350546;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;59;8,5;76,3;15,3;71;1,4;71,8;26,8;75;30,7;66,7;2,7;.;.;.;.;
Stenbockskolan MH;23991743;Boxholm;0560;Kommunal;Boxholms kommun;2120000407;44;4,5;59,1;36,4;45;4,4;37,8;57,8;46;8,7;63,0;28,3;.;.;.;.;
Dalaskolan Södra;79707757;Bromölla;1272;Kommunal;Bromölla kommun;2120000894;34;2,9;61,8;35,3;44;2,3;95,5;2,3;43;11,6;86,0;2,3;.;.;.;.;
Humleskolan;18195751;Bromölla;1272;Kommunal;Bromölla kommun;2120000894;62;1,6;43,5;54,8;76;1,3;60,5;38,2;77;5,2;59,7;35,1;.;.;.;.;
Bräcke skola;63287550;Bräcke;2305;Kommunal;Bräcke kommun;2120002460;20;.;55,0;45,0;21;.;76,2;23,8;23;8,7;91,3;.;.;.;.;.;
Gällö skola;34671510;Bräcke;2305;Kommunal;Bräcke kommun;2120002460;21;.;85,7;14,3;25;.;64,0;36,0;25;12,0;72,0;16,0;.;.;.;.;
Dalslundskolan 7-9;58712142;Burlöv;1231;Kommunal;Burlövs kommun;2120001025;55;10,9;65,5;23,6;68;.;86,8;13,2;70;34,3;61,4;4,3;.;.;.;.;
Vårboskolan;95748172;Burlöv;1231;Kommunal;Burlövs kommun;2120001025;50;4,0;66,0;30,0;84;.;100,0;.;85;4,7;62,4;32,9;37;2,7;75,7;21,6;
Förslövs skola F-9;94453321;Båstad;1278;Kommunal;Båstads kommun;2120000944;64;9,4;78,1;12,5;70;5,7;57,1;37,1;44;31,8;63,6;4,5;.;.;.;.;
Strandängsskolan F-9;16148785;Båstad;1278;Kommunal;Båstads kommun;2120000944;98;10,2;50,0;39,8;102;3,9;72,5;23,5;110;14,5;66,4;19,1;.;.;.;.;
Hagaskolan;93081338;Dals-Ed;1438;Kommunal;Dals-Eds kommun;2120001413;44;6,8;75,0;18,2;48;.;66,7;33,3;47;.;97,9;2,1;.;.;.;.;
Fribergaskolan;42986451;Danderyd;0162;Kommunal;Danderyds kommun;2120000126;164;5,5;74,4;20,1;173;2,9;83,8;13,3;164;10,4;87,2;2,4;.;.;.;.;
Mörbyskolan;97174070;Danderyd;0162;Kommunal;Danderyds kommun;2120000126;150;3,3;64,0;32,7;152;3,3;82,9;13,8;155;29,7;67,7;2,6;.;.;.;.;
Viktor Rydbergs samskola Djursholm;13493243;Danderyd;0162;Enskild;Stiftelsen Viktor Rydbergs Skolor;8120005650;173;5,2;79,8;15,0;178;2,2;87,6;10,1;177;5,1;88,1;6,8;.;.;.;.;
Stora Vallaskolan;96969231;Degerfors;1862;Kommunal;Degerfors kommun;2120001934;56;12,5;50,0;37,5;71;2,8;69,0;28,2;72;13,9;72,2;13,9;20;5,0;95,0;.;
Strandenskolan F-9;17181067;Dorotea;2425;Kommunal;Dorotea kommun;2120002809;30;.;46,7;53,3;30;.;96,7;3,3;31;.;54,8;45,2;.;.;.;.;
Gunnarsbyskolan F-9;69352527;Eda;1730;Kommunal;Eda kommun;2120001769;29;.;79,3;20,7;46;.;69,6;30,4;43;14,0;79,1;7,0;.;.;.;.;
Hierneskolan F-9;55674136;Eda;1730;Kommunal;Eda kommun;2120001769;19;5,3;73,7;21,1;19;5,3;78,9;15,8;20;20,0;75,0;5,0;.;.;.;.;
Birkaskolan;27595656;Ekerö;0125;Enskild;Mälaröarnas Montessori, Ek. För.;7696032353;30;.;43,3;56,7;29;.;100,0;.;27;3,7;88,9;7,4;.;.;.;.;
Tappströmsskolan;52217632;Ekerö;0125;Kommunal;Ekerö kommun;2120000050;170;5,3;64,1;30,6;170;1,2;84,1;14,7;176;8,5;81,8;9,7;.;.;.;.;
Träkvista skola;66475520;Ekerö;0125;Kommunal;Ekerö kommun;2120000050;77;.;55,8;44,2;81;.;91,4;8,6;81;2,5;93,8;3,7;.;.;.;.;
Uppgårdskolan;95057356;Ekerö;0125;Kommunal;Ekerö kommun;2120000050;99;.;52,5;47,5;98;1,0;52,0;46,9;96;7,3;72,9;19,8;.;.;.;.;
Furulundsskolan;48108874;Eksjö;0686;Kommunal;Eksjö kommun;2120000589;37;.;81,1;18,9;39;7,7;84,6;7,7;39;25,6;71,8;2,6;.;.;.;.;
Prästängsskolan A;48457931;Eksjö;0686;Kommunal;Eksjö kommun;2120000589;70;14,3;62,9;22,9;85;1,2;76,5;22,4;83;7,2;78,3;14,5;18;.;66,7;33,3;
Prästängsskolan B;98124174;Eksjö;0686;Kommunal;Eksjö kommun;2120000589;70;4,3;60,0;35,7;83;.;74,7;25,3;83;8,4;75,9;15,7;.;.;.;.;
Bjurbäcksskolan 7-9;37716305;Emmaboda;0862;Kommunal;Emmaboda kommun;2120000738;69;23,2;52,2;24,6;84;.;76,2;23,8;91;8,8;83,5;7,7;22;4,5;72,7;22,7;
Bergvretenskolan;56521117;Enköping;0381;Kommunal;Enköpings kommun;2120000282;63;7,9;71,4;20,6;73;.;75,3;24,7;72;2,8;76,4;20,8;.;.;.;.;
Entréskolan Enköping;97000303;Enköping;0381;Enskild;AmiSgo AB;5568148117;23;4,3;60,9;34,8;22;.;77,3;22,7;23;8,7;87,0;4,3;.;.;.;.;
Enöglaskolan;12753670;Enköping;0381;Kommunal;Enköpings kommun;2120000282;.;.;.;.;35;.;68,6;31,4;38;15,8;78,9;5,3;23;17,4;56,5;26,1;
Fjärdhundraskolan;94821900;Enköping;0381;Kommunal;Enköpings kommun;2120000282;27;.;77,8;22,2;30;.;46,7;53,3;33;18,2;66,7;15,2;.;.;.;.;
